RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000
394913,1,"New York, NY",msa,NY,214314.5418,215225.2576,216144.4084,218006.9635,219935.7038,222073.9967,224410.1351,226898.2501,229444.5609
753899,2,"Los Angeles, CA",msa,CA,225004.5438,225841.8461,226957.1249,229176.1551,231603.0784,234013.0056,236483.4236,238977.3773,241326.6608
394463,3,"Chicago, IL",msa,IL,149670.2487,149808.7998,150072.6727,150729.1229,151518.7536,152404.9329,153348.1516,154679.0672,156241.8759
394514,4,"Dallas, TX",msa,TX,125827.1841,125883.2279,125947.6561,126114.9693,126335.5671,126558.8577,126792.9748,127143.6802,127583.1871
394692,5,"Houston, TX",msa,TX,120858.333,120880.8452,120796.4611,120846.9009,120893.43,121080.5738,121263.1774,121547.671,121917.7659
395209,6,"Washington, DC",msa,VA,180026.0961,180172.4713,180442.2504,181053.1079,181981.7151,183099.4199,184490.0804,186039.8234,187631.7277
394974,7,"Philadelphia, PA",msa,PA,119595.9594,119861.7764,120043.186,120490.8327,120924.0235,121446.4779,121989.4636,122575.1462,123215.7236
394856,8,"Miami, FL",msa,FL,111789.6938,112096.5799,112421.5565,113078.0801,113713.4058,114341.178,114990.4818,115656.4942,116371.8229
394347,9,"Atlanta, GA",msa,GA,144164.4919,144496.7663,144888.2472,145720.8836,146651.0846,147641.3995,148629.7784,149679.8657,150753.1742
394404,10,"Boston, MA",msa,MA,213422.7112,214283.0434,215224.3204,216961.512,218827.3709,220901.5543,223556.1296,226763.4847,230284.5775
394976,11,"Phoenix, AZ",msa,AZ,140630.5602,140915.9414,141291.7773,142063.5989,142912.2954,143633.7858,144350.7906,145025.5468,145791.0852
395057,12,"San Francisco, CA",msa,CA,293721.8021,294870.7825,296621.9316,301372.5686,307919.7922,314715.727,321125.7414,326757.5464,332805.1008
395025,13,"Riverside, CA",msa,CA,135326.5093,135879.6527,136415.0239,137511.5327,138593.6127,139724.9996,140858.5204,142122.5292,143400.7119
394532,14,"Detroit, MI",msa,MI,121812.3256,121943.6846,122272.6546,122933.1558,123801.8687,124758.1902,125872.3059,126967.6597,127936.7988
